अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
क्षञ्ज्	 । चु॰	 सेट्	 उ॰ । 	क्ष॑जिँ॑ 		कृच्छ्रजीवने 	१०।	०११३ ॥
क्षञ्ज्	 । भ्वा॰	 सेट्	 आ॰ । 	क्ष॑जिँ॒ 		गतिदानयोः 	०१।	०८७३ ॥
क्षण्	 । त॰	 सेट्	 उ॰ । 	क्ष॑णुँ॒॑ 		हिंसायाम् 	०८।	०००३ ॥
क्षप (क्षप्)	 । चु॰	 सेट्	 उ॰ । 	क्ष॑पँ॑ 		प्रेरणे 	१०।	०४८७ ॥
क्षप्	 । भ्वा॰	 सेट्	 प॰ । 	क्ष॒प॑य॒॑श्च॑ 		[मित्] [इति भोजः] 	०१।	०९३५ ॥
क्षम्	 । दि॰	 सेट्	 प॰ । 	क्ष॑मूँ॑ 		सहने 	०४।	०१०३ ॥
क्षम्	 । भ्वा॰	 सेट्	 आ॰ । 	क्ष॑मूँ॒ष् 		सहने 	०१।	०५१० ॥
क्षम्प्	 । चु॰	 सेट्	 उ॰ । 	क्ष॑पिँ॑ 		क्षान्त्याम् 	१०।	०११२ ॥
क्षर्	 । भ्वा॰	 सेट्	 प॰ । 	क्ष॑रँ॑ 		सञ्चलने 	०१।	०९८६ ॥
क्षल्	 । चु॰	 सेट्	 उ॰ । 	क्ष॑लँ॑ 		शौचकर्मणि 	१०।	००८६ ॥
क्षि	 । स्वा॰	 सेट्	 प॰ । 	क्षि॑ 		[क्षीऽ] [हिंसायाम्] । क्षिर्भाषायामित्येके 	०५।	००३३ ॥
क्षि	 । भ्वा॰	 अनिट्	 प॰ । 	क्षि॒ 		क्षये 	०१।	०२६९ ॥
क्षि	 । तु॰	 अनिट्	 प॰ । 	क्षि॒ 		निवासगत्योः 	०६।	०१४३ ॥
क्षिण्	 । त॰	 सेट्	 उ॰ । 	क्षि॑णुँ॒॑ 		[हिंसायाम्] च 	०८।	०००४ ॥
क्षिप्	 । तु॰	 अनिट्	 उ॰ । 	क्षि॒पँ॒॑ 		प्रेरणे 	०६।	०००५ ॥
क्षिप्	 । दि॰	 अनिट्	 प॰ । 	क्षि॒पँ॑ 		प्रेरने 	०४।	००१५ ॥
क्षिव्	 । भ्वा॰	 सेट्	 प॰ । 	क्षि॑वुँ॑ 	(क्षी॑वुँ॑)	[निरसने] 	०१।	०६४८ ॥
क्षी	 । स्वा॰	 सेट्	 प॰ । 	क्षी॑ 		[हिंसायाम्] इत्येके । क्षिर्भाषायामित्येके 	०५।	००३९ ॥
क्षीज्	 । भ्वा॰	 सेट्	 प॰ । 	क्षी॑जँ॑ 		अव्यक्ते शब्दे 	०१।	०२७० ॥
क्षीब्	 । भ्वा॰	 सेट्	 आ॰ । 	क्षी॑बृँ॒ 		मदे 	०१।	०४४२ ॥
क्षीव्	 । भ्वा॰	 सेट्	 आ॰ । 	क्षी॑वृँ॒ 		[मदे] इत्येके 	०१।	०४४३ ॥
क्षीष्	 । क्र्या॰	 अनिट्	 प॰ । 	क्षी॒ष् 		हिंसायाम् 	०९।	००४२ ॥
क्षु	 । अ॰	 सेट्	 प॰ । 	टु॑क्षु॑ 		शब्दे 	०२।	००३१ ॥
क्षुद्	 । रु॰	 अनिट्	 उ॰ । 	क्षु॒दिँ॒॑र् 		सम्प्रेषणे 	०७।	०००६ ॥
क्षुध्	 । दि॰	 अनिट्	 प॰ । 	क्षु॒धँ॑ 		बुभुक्षायाम् 	०४।	००८७ ॥
क्षुभ्	 । क्र्या॰	 सेट्	 प॰ । 	क्षु॑भँ॑ 		सञ्चलने 	०९।	००५५ ॥
क्षुभ्	 । दि॰	 सेट्	 प॰ । 	क्षु॑भँ॑ 		सञ्चलने 	०४।	०१५४ ॥
क्षुभ्	 । भ्वा॰	 सेट्	 आ॰ । 	क्षु॑भँ॒ 		सञ्चलने 	०१।	०८५४ ॥
क्षुर्	 । तु॰	 सेट्	 प॰ । 	क्षु॑रँ॑ 		विलेखने 	०६।	००७० ॥
क्षुर्	 । भ्वा॰	 सेट्	 प॰ । 	क्षु॑रँ॑ 		सञ्चये 	०१।	०९८७ ॥
क्षेव्	 । भ्वा॰	 सेट्	 प॰ । 	क्षे॑वुँ॑ 		निरसने 	०१।	०६४९ ॥
क्षै	 । भ्वा॰	 अनिट्	 प॰ । 	क्षै॒ 		[क्षये] 	०१।	१०६१ ॥
क्षोट (क्षोट्)	 । चु॰	 सेट्	 उ॰ । 	क्षो॑टँ॑ 		क्षेपे 	१०।	०४१६ ॥
क्ष्णु	 । अ॰	 सेट्	 प॰ । 	क्ष्णु॑ 		तेजने 	०२।	००३२ ॥
क्ष्माय्	 । भ्वा॰	 सेट्	 आ॰ । 	क्ष्मा॑यीँ॒ 		विधूनने 	०१।	०५५९ ॥
क्ष्मील्	 । भ्वा॰	 सेट्	 प॰ । 	क्ष्मी॑लँ॑ 		निमेषणे 	०१।	०५९८ ॥
क्ष्विद्	 । भ्वा॰	 सेट्	 आ॰ । 	ञिक्ष्वि॑दाँ॑ 		[स्नेहनमोचनयोः (गात्रप्रस्रवणे) 	०४।	११३३ ॥
क्ष्विद्	 । भ्वा॰	 सेट्	 प॰ । 	ञिक्ष्वि॑दाँ॑ 		अव्यक्ते शब्दे 	०१।	११३३ ॥
क्ष्विद्	 । दि॰	 सेट्	 प॰ । 	ञिक्ष्वि॑दाँ॑ 		स्नेहनमोचनयोः 	०४।	०१५९ ॥
क्ष्वेल्	 । भ्वा॰	 सेट्	 प॰ । 	क्ष्वे॑लृँ॑ 		[चलने] 	०१।	०६१८ ॥
खच्	 । क्र्या॰	 सेट्	 प॰ । 	ख॑चँ॑ 		भूतप्रादुर्भावे 	०९।	००६७ ॥
खज्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑जँ॑ 		मन्थे 	०१।	०२६४ ॥
खञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑जिँ॑ 		गतिवैकल्ये 	०१।	०२६६ ॥
खट्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑टँ॑ 		काङ्क्षायाम् 	०१।	०३४६ ॥
खट्ट्	 । चु॰	 सेट्	 उ॰ । 	ख॑ट्टँ॑ 		संवरणे 	१०।	०१२७ ॥
खड्	 । चु॰	 सेट्	 उ॰ । 	ख॑डँ॑ 		[खण्डने (भेदने)] 	१०।	००६५ ॥
खण्ड्	 । चु॰	 सेट्	 उ॰ । 	ख॑डिँ॑ 		[खण्डने (भेदने)] 	१०।	००६६ ॥
खण्ड्	 । भ्वा॰	 सेट्	 आ॰ । 	ख॑डिँ॒ 		मन्थे 	०१।	०३१७ ॥
खद्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑दँ॑ 		स्थैर्ये हिंसायां च 	०१।	००५२ ॥
खन्	 । भ्वा॰	 सेट्	 उ॰ । 	ख॑नुँ॒॑ 		अवदारणे 	०१।	१०२० ॥
खर्ज्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑र्जँ॑ 		[व्यथने] पूजने च 	०१।	०२६१ ॥
खर्द्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑र्दँ॑ 		दन्दशूके 	०१।	००६२ ॥
खर्ब्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑र्बँ॑ 		[गतौ] 	०१।	०४८७ ॥
खर्व्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑र्वँ॑ 		[दर्पे] 	०१।	०६६५ ॥
खल्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑लँ॑ 		[सञ्चलने] सञ्चये (च) 	०१।	०६२६ ॥
खव्	 । क्र्या॰	 सेट्	 प॰ । 	ख॑वँ॑ 		[भूतप्रादुर्भावे] इत्येके 	०९।	००६८ ॥
खष्	 । भ्वा॰	 सेट्	 प॰ । 	ख॑षँ॑ 		[हिंसार्थः] 	०१।	०७८२ ॥
खाद्	 । भ्वा॰	 सेट्	 प॰ । 	खा॑दृँ॑ 		भक्षणे 	०१।	००५१ ॥
खिट्	 । भ्वा॰	 सेट्	 प॰ । 	खि॑टँ॑ 		त्रासे 	०१।	०३३९ ॥
खिद्	 । रु॰	 अनिट्	 आ॰ । 	खि॒दँ॒ 		दैन्ये 	०७।	००१२ ॥
खिद्	 । दि॰	 अनिट्	 आ॰ । 	खि॒दँ॒ 		दैन्ये 	०४।	००६६ ॥
खिद्	 । तु॰	 अनिट्	 प॰ । 	खि॒दँ॑ 		परिघाते (परिघातने) 	०६।	०१७२ ॥
खु	 । भ्वा॰	 अनिट्	 आ॰ । 	खु॒ङ् 		[शब्दे] 	०१।	११०४ ॥
खुज्	 । भ्वा॰	 सेट्	 प॰ । 	खु॑जुँ॑ 		स्तेयकरणे 	०१।	०२२७ ॥
खुड्	 । तु॰	 सेट्	 प॰ । 	खु॑डँ॑ 		[[संवरणे] इत्येके] 	०६।	०११९ ॥
खुण्ड्	 । चु॰	 सेट्	 उ॰ । 	खु॑डिँ॑ 		खण्डने 	१०।	००७२ ॥
खुर्	 । तु॰	 सेट्	 प॰ । 	खु॑रँ॑ 		छेदने 	०६।	००६८ ॥
खुर्द्	 । भ्वा॰	 सेट्	 आ॰ । 	खु॑र्द॒ 		[क्रीडायामेव] 	०१।	००२२ ॥
खेट (खेट्)	 । चु॰	 सेट्	 उ॰ । 	खे॑टँ॑ 		भक्षणे 	१०।	०४१३ ॥
खेड (खेड्)	 । चु॰	 सेट्	 उ॰ । 	खे॑डँ॑ 		[भक्षणे] इत्येके 	१०।	०४१४ ॥
खेल्	 । भ्वा॰	 सेट्	 प॰ । 	खे॑लृँ॑ 		[चलने] 	०१।	०६१७ ॥
खेव्	 । भ्वा॰	 सेट्	 आ॰ । 	खे॑वृँ॒ 		[[सेवने] इत्यप्येके] 	०१।	०५८१ ॥
खै	 । भ्वा॰	 अनिट्	 प॰ । 	खै॒ 		खदने 	०१।	१०६० ॥
खोट (खोट्)	 । चु॰	 सेट्	 उ॰ । 	खो॑टँ॑ 		[भक्षणे] इत्यन्ये 	१०।	०४१५ ॥
खोर्	 । भ्वा॰	 सेट्	 प॰ । 	खो॑रृँ॑ 		गतिप्रतिघाते 	०१।	०६३३ ॥
खोल्	 । भ्वा॰	 सेट्	 प॰ । 	खो॑लृँ॑ 		[गतिप्रतिघाते] 	०१।	०६३२ ॥
ख्या	 । अ॰	 अनिट्	 प॰ । 	ख्या॒ 		प्रकथने 	०२।	००५५ ॥
गज्	 । चु॰	 सेट्	 उ॰ । 	ग॑जँ॑ 		[शब्दार्थः] 	१०।	०१४९ ॥
गज्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑जँ॑ 		[शब्दार्थः] 	०१।	०२७९ ॥
गञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑जिँ॑ 		[शब्दार्थः] 	०१।	०२८० ॥
गड्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑डँ॑ 		सेचने 	०१।	०८८६ ॥
गण (गण्)	 । चु॰	 सेट्	 उ॰ । 	ग॑णँ॑ 		सङ्ख्याने 	१०।	०३९१ ॥
गण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑डिँ॑ 		वदनैकदेशे 	०१।	००६८ ॥
गण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑डिँ॑ 		वदनैकदेशे 	०१।	०४१९ ॥
गद (गद्)	 । चु॰	 सेट्	 उ॰ । 	ग॑दीँ॑ 		देवशब्दे 	१०।	०३९९ ॥
गद्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑दँ॑ 		व्यक्तायां वाचि 	०१।	००५४ ॥
गन्ध्	 । चु॰	 सेट्	 आ॰ । 	ग॑न्धँ॒ 		अर्दने 	१०।	०२०४ ॥
गम्	 । भ्वा॰	 अनिट्	 प॰ । 	ग॒मॢँ॑ 		[गतौ] 	०१।	११३७ ॥
गर्ज्	 । चु॰	 सेट्	 उ॰ । 	ग॑र्जँ॑ 		[शब्दे] 	१०।	०१७७ ॥
गर्ज्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑र्जँ॑ 		शब्दे 	०१।	०२५८ ॥
गर्द्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑र्दँ॑ 		शब्दे 	०१।	००५९ ॥
गर्द्	 । चु॰	 सेट्	 उ॰ । 	ग॑र्दँ॑ 		शब्दे 	१०।	०१७८ ॥
गर्ध्	 । चु॰	 सेट्	 उ॰ । 	ग॑र्धँ॑ 		अभिकाङ्क्षायाम् 	१०।	०१७९ ॥
गर्ब्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑र्बँ॑ 		[गतौ] 	०१।	०४८८ ॥
गर्व (गर्व्)	 । चु॰	 सेट्	 आ॰ । 	ग॑र्वँ॒ 		माने 	१०।	०४४९ ॥
गर्व्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑र्वँ॑ 		दर्पे 	०१।	०६६६ ॥
गर्ह्	 । भ्वा॰	 सेट्	 आ॰ । 	ग॑र्हँ॒ 		[कुत्सायाम्] 	०१।	०७२३ ॥
गर्ह्	 । चु॰	 सेट्	 उ॰ । 	ग॑र्हँ॑ 		विनिन्दने 	१०।	०३८३ ॥
गल्	 । भ्वा॰	 सेट्	 प॰ । 	ग॑लँ॑ 		अदने (भक्षणे स्रावे च) 	०१।	०६२७ ॥
गल्	 । चु॰	 सेट्	 आ॰ । 	ग॑लँ॒ 		स्रवणे 	१०।	०२२३ ॥
गल्भ्	 । भ्वा॰	 सेट्	 आ॰ । 	ग॑ल्भँ॒ 		धार्ष्ट्ये 	०१।	०४५७ ॥
गल्ह्	 । भ्वा॰	 सेट्	 आ॰ । 	ग॑ल्हँ॒ 		कुत्सायाम् 	०१।	०७२४ ॥
गवेष (गवेष्)	 । चु॰	 सेट्	 उ॰ । 	ग॑वे॑षँ॑ 		मार्गणे 	१०।	०४२५ ॥
गा	 । भ्वा॰	 अनिट्	 आ॰ । 	गा॒ङ् 		गतौ 	०१।	११०१ ॥
गा	 । जु॰	 अनिट्	 प॰ । 	गा॒ 		स्तुतौ 	०३।	००२६ ॥
गाध्	 । भ्वा॰	 सेट्	 आ॰ । 	गा॑धृँ॒ 		प्रतिष्ठालिप्सयोर्ग्रन्थे च 	०१।	०००४ ॥
गाह्	 । भ्वा॰	 सेट्	 आ॰ । 	गा॑हूँ॒ 		विलोडने 	०१।	०७३६ ॥
गु	 । भ्वा॰	 अनिट्	 आ॰ । 	गु॒ङ् 		[शब्दे] 	०१।	११०५ ॥
गु	 । भ्वा॰	 अनिट्	 आ॰ । 	गु॒ङ् 		अव्यक्ते शब्दे 	०१।	११०० ॥
गु	 । तु॰	 अनिट्	 प॰ । 	गु॒ 		पुरीषोत्सर्गे 	०६।	०१३४ ॥
गुज्	 । भ्वा॰	 सेट्	 प॰ । 	गु॑जँ॑ 		[अव्यक्ते शब्दे] 	०१।	०२३० ॥
गुज्	 । तु॰	 सेट्	 प॰ । 	गु॑जँ॑ 		शब्दे 	०६।	००९६ ॥
गुञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	गु॑जिँ॑ 		अव्यक्ते शब्दे 	०१।	०२३१ ॥
गुड्	 । तु॰	 सेट्	 प॰ । 	गु॑डँ॑ 		रक्षायाम् 	०६।	००९७ ॥
गुण (गुण्)	 । चु॰	 सेट्	 उ॰ । 	गु॑णँ॑ 		चामन्त्रणे 	१०।	०४३६ ॥
गुण्ठ्	 । चु॰	 सेट्	 उ॰ । 	गु॑ठिँ॑ 		[[रक्षणे] वेष्टने (च) । रक्ष॑ण॒ इत्येके॑] इत्यप॑रे 	१०।	००७१ ॥
गुण्ड्	 । चु॰	 सेट्	 उ॰ । 	गु॑डिँ॑ 		[रक्षणे] वेष्टने (च) । रक्ष॑ण॒ इत्येके॑ 	१०।	००६९ ॥
गुद्	 । भ्वा॰	 सेट्	 आ॰ । 	गु॑दँ॒ 		क्रीडायामेव 	०१।	००२४ ॥
गुध्	 । दि॰	 सेट्	 प॰ । 	गु॑धँ॑ 		परिवेष्टने 	०४।	००१४ ॥
गुध्	 । क्र्या॰	 सेट्	 प॰ । 	गु॑धँ॑ 		रोषे 	०९।	००५३ ॥
गुप्	 । चु॰	 सेट्	 उ॰ । 	गु॑पँ॑ 		[भाषार्थः] 	०४।	०१४७ ॥
गुप्	 । भ्वा॰	 सेट्	 आ॰ । 	गु॑पँ॒ 		गोपने 	०१।	११२५ ॥
गुप्	 । भ्वा॰	 सेट्	 प॰ । 	गु॑पूँ॑ 		रक्षणे 	०१।	०४६१ ॥
गुप्	 । दि॰	 सेट्	 प॰ । 	गु॑पँ॑ 		व्याकुलत्वे 	१०।	०३०२ ॥
गुफ्	 । तु॰	 सेट्	 प॰ । 	गु॑फँ॑ 		[ग्रन्थे] 	०६।	००४२ ॥
गुम्फ्	 । तु॰	 सेट्	 प॰ । 	गु॑म्फँ॑ 		ग्रन्थे 	०६।	००४३ ॥
गुर्	 । तु॰	 सेट्	 आ॰ । 	गु॑रीँ॒ 		उद्यमने 	०६।	०१३१ ॥
गुर्द्	 । भ्वा॰	 सेट्	 आ॰ । 	गु॑र्द॒ 		[क्रीडायामेव (गुडक्रीडायामेव)] 	०१।	००२३ ॥
गुर्द्	 । चु॰	 सेट्	 उ॰ । 	गु॑र्दँ॑ 		पूर्वनिकेतने । निकेतने इत्यन्ये 	१०।	०१८० ॥
गुर्व्	 । भ्वा॰	 सेट्	 प॰ । 	गु॑र्वीँ॑ 		उद्यमने 	०१।	०६५५ ॥
गुह्	 । भ्वा॰	 सेट्	 उ॰ । 	गु॑हूँ॒॑ 		संवरणे 	०१।	१०४३ ॥
गूर्	 । चु॰	 सेट्	 आ॰ । 	गू॑रँ॒ 		उद्यमने 	०४।	००४९ ॥
गूर्	 । दि॰	 सेट्	 आ॰ । 	गू॑रीँ॒ 		हिंसागत्योः 	१०।	०२१७ ॥
गूह्	 । भ्वा॰	 सेट्	 आ॰ । 	गृ॑हूँ॒ 		ग्रहणे 	०१।	०७३७ ॥
गृ	 । भ्वा॰	 अनिट्	 प॰ । 	गृ॒ 		[सेचने] 	०१।	१०८७ ॥
गृज्	 । भ्वा॰	 सेट्	 प॰ । 	गृ॑जँ॑ 		[शब्दार्थः] । गजँ मदने च 	०१।	०२८१ ॥
गृञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	गृ॑जिँ॑ 		[शब्दार्थः] 	०१।	०२८२ ॥
गृध्	 । दि॰	 सेट्	 प॰ । 	गृ॑धुँ॑ 		अभिकाङ्क्षायाम् 	०४।	०१६१ ॥
गृह (गृह्)	 । चु॰	 सेट्	 आ॰ । 	गृ॑हँ॒ 		ग्रहणे 	१०।	०४४१ ॥
गॄ	 । तु॰	 सेट्	 प॰ । 	गॄ॑ 		निगरणे 	०९।	००३३ ॥
गॄ	 । चु॰	 सेट्	 आ॰ । 	गॄ॑ 		विज्ञाने 	०६।	०१४६ ॥
गॄ	 । क्र्या॰	 सेट्	 प॰ । 	गॄ॑ 		शब्दे 	१०।	०२३१ ॥
गेप	 । भ्वा॰	 सेट्	 आ॰ । 	गे॑पृँ॒ 		[[कम्पने] च] 	०१।	०४२७ ॥
गेव्	 । भ्वा॰	 सेट्	 आ॰ । 	गे॑वृँ॒ 		[सेवने] 	०१।	०५७५ ॥
गेष्	 । भ्वा॰	 सेट्	 आ॰ । 	गे॑षृँ॒ 		अन्विच्छायाम् 	०१।	०६९८ ॥
गै	 । भ्वा॰	 अनिट्	 प॰ । 	गै॒ 		शब्दे 	०१।	१०६५ ॥
गोम (गोम्)	 । चु॰	 सेट्	 उ॰ । 	गो॑मँ॑ 		उपलेपने 	१०।	०४१७ ॥
गोष्ट्	 । भ्वा॰	 सेट्	 आ॰ । 	गो॑ष्टँ॒ 		[सङ्घाते] 	०१।	०२९० ॥
ग्रन्थ्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्र॑थिँ॒ 		कौटिल्ये 	०१।	००३६ ॥
ग्रन्थ्	 । चु॰	 सेट्	 उ॰ । 	ग्र॑न्थँ॑ 		बन्धने 	०९।	००४९ ॥
ग्रन्थ्	 । चु॰	 सेट्	 उ॰ । 	ग्र॑न्थँ॑ 		सन्दर्भे 	१०।	०३६२ ॥
ग्रन्थ्	 । क्र्या॰	 सेट्	 प॰ । 	ग्र॑न्थँ॑ 		सन्दर्भे 	१०।	०३७५ ॥
ग्रस्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्र॑सुँ॒ 		[अदने] 	०१।	०७१७ ॥
ग्रस्	 । चु॰	 सेट्	 उ॰ । 	ग्र॑सँ॑ 		ग्रहणे 	१०।	०२७९ ॥
ग्रह्	 । क्र्या॰	 सेट्	 उ॰ । 	ग्र॑हँ॒॑ 		उपादाने 	०९।	००७१ ॥
ग्राम (ग्राम्)	 । चु॰	 सेट्	 उ॰ । 	ग्रा॑मँ॑ 		[आमन्त्रणे] 	१०।	०४३४ ॥
ग्रुच्	 । भ्वा॰	 सेट्	 प॰ । 	ग्रु॑चुँ॑ 		स्तेयकरणे 	०१।	०२२४ ॥
ग्लस्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ल॑सुँ॒ 		अदने 	०१।	०७१८ ॥
ग्लह्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ल॑हँ॒ 		[ग्रहणे] च (अपादाने) 	०१।	०७३८ ॥
ग्लुच्	 । भ्वा॰	 सेट्	 प॰ । 	ग्लु॑चुँ॑ 		स्तेयकरणे 	०१।	०२२५ ॥
ग्लुञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	ग्लु॑ञ्चँ॑ 		[गतौ] 	०१।	०२२८ ॥
ग्लेप्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ले॑पृँ॒ 		च [कम्पने] 	०१।	०४२४ ॥
ग्लेप्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ले॑पृँ॒ 		दैन्ये 	०१।	०४२८ ॥
ग्लेव्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ले॑वृँ॒ 		[सेवने] 	०१।	०५७६ ॥
ग्लेष्	 । भ्वा॰	 सेट्	 आ॰ । 	ग्ले॑षृँ॑ 		[अन्विच्छायाम्] इत्येके 	०१।	०६९९ ॥
ग्लै	 । भ्वा॰	 अनिट्	 प॰ । 	ग्लै॒ 		[हर्षक्षये] (मित् अनुपसर्गाद्वा - १।९४५) 	०१।	१०५१ ॥
घग्घ्	 । भ्वा॰	 सेट्	 प॰ । 	घ॑ग्घँ॑ 		[हसने] इत्येके 	०१।	०१८० ॥
घघ्	 । भ्वा॰	 सेट्	 प॰ । 	घ॑घँ॑ 		हसने 	०१।	०१७९ ॥
घट्	 । चु॰	 सेट्	 उ॰ । 	घ॑टँ॑ 		[भाषार्थः] 	१०।	०२९७ ॥
घट्	 । भ्वा॰	 सेट्	 आ॰ । 	घ॑टँ॒ 		चेष्टायाम् 	०१।	०८६७ ॥
घट्	 । चु॰	 सेट्	 उ॰ । 	घ॑टँ॑ 		सङ्घाते । हन्त्यर्थाश्च 	१०।	०२४८ ॥
घट्ट्	 । चु॰	 सेट्	 उ॰ । 	घ॑ट्टँ॑ 		चलने 	१०।	०१२५ ॥
घट्ट्	 । भ्वा॰	 सेट्	 आ॰ । 	घ॑ट्टँ॒ 		चलने 	०१।	०२९२ ॥
घण्ट्	 । चु॰	 सेट्	 उ॰ । 	घ॑टिँ॑ 		[भाषार्थः] 	१०।	०२९८ ॥
घष्	 । भ्वा॰	 सेट्	 आ॰ । 	घ॑षँ॒ 		[कान्तिकरणे] इति केचित् 	०१।	०७४० ॥
घस्	 । भ्वा॰	 सेट्	 प॰ । 	घ॑सॢँ॑ 		अदने 	०१।	०८१२ ॥
घिण्ण्	 । भ्वा॰	 सेट्	 आ॰ । 	घि॑णिँ॒ 		[ग्रहणे] 	०१।	०५०२ ॥
घु	 । भ्वा॰	 अनिट्	 आ॰ । 	घु॒ङ् 		[शब्दे] 	०१।	०७३९ ॥
घुंष्	 । भ्वा॰	 सेट्	 आ॰ । 	घु॑षिँ॒ 		कान्तिकरणे 	०१।	११०६ ॥
घुट्	 । भ्वा॰	 सेट्	 आ॰ । 	घु॑टँ॒ 		परिवर्तने 	०१।	०८४८ ॥
घुट्	 । तु॰	 सेट्	 प॰ । 	घु॑टँ॑ 		प्रतिघाते 	०६।	०११५ ॥
घुण्	 । तु॰	 सेट्	 प॰ । 	घु॑णँ॑ 		[भ्रमणे] 	०६।	००६४ ॥
घुण्	 । भ्वा॰	 सेट्	 आ॰ । 	घु॑णँ॒ 		[भ्रमणे] 	०१।	०५०५ ॥
घुण्ण्	 । भ्वा॰	 सेट्	 आ॰ । 	घु॑णिँ॒ 		[ग्रहणे] 	०१।	०५०३ ॥
घुर्	 । तु॰	 सेट्	 प॰ । 	घु॑रँ॑ 		भीमार्थशब्दयोः 	०६।	००७१ ॥
घुष्	 । भ्वा॰	 सेट्	 प॰ । 	घु॑षिँ॑र् 		अविशब्दने । शब्द इत्यन्ये पेठुः 	०१।	०७४१ ॥
घुष्	 । चु॰	 सेट्	 उ॰ । 	घु॑षिँ॑र् 		विशब्दने 	१०।	०२५१ ॥
घूर्	 । दि॰	 सेट्	 आ॰ । 	घू॑री॒ 		[हिंसावयोहन्योः] 	०४।	००५० ॥
घूर्ण्	 । तु॰	 सेट्	 प॰ । 	घू॑र्णँ॑ 		भ्रमणे 	०६।	००६५ ॥
घूर्ण्	 । भ्वा॰	 सेट्	 आ॰ । 	घू॑र्णँ॒ 		भ्रमणे 	०१।	०५०६ ॥
घृ	 । जु॰	 अनिट्	 प॰ । 	घृ॒ 		क्षरणदीप्त्योः 	१०।	०१५२ ॥
घृ	 । चु॰	 सेट्	 उ॰ । 	घृ॑ 		प्रस्रवणे । स्रावण इत्येके 	०३।	००१५ ॥
घृ	 । भ्वा॰	 अनिट्	 प॰ । 	घृ॒ 		सेचने 	०१।	१०८८ ॥
घृण्	 । त॰	 सेट्	 उ॰ । 	घृ॑णुँ॒॑ 		दीप्तौ 	०८।	०००७ ॥
घृण्ण्	 । भ्वा॰	 सेट्	 आ॰ । 	घृ॑णिँ॒ 		ग्रहणे 	०१।	०५०४ ॥
घृष्	 । भ्वा॰	 सेट्	 प॰ । 	घृ॑षुँ॑ 		सङ्घर्षे 	०१।	०८०५ ॥
घ्रा	 । भ्वा॰	 अनिट्	 प॰ । 	घ्रा॒ 		गन्धोपादाने (घ्राणे) 	०१।	१०७५ ॥
घ्राघ्	 । भ्वा॰	 सेट्	 आ॰ । 	ध्रा॑घृँ॒ 		[सामर्थ्ये] इत्यपि केचित् 	०१।	०१२१ ॥
ङु	 । भ्वा॰	 अनिट्	 आ॰ । 	ङु॑ङ् 		शब्दे 	०१।	११०७ ॥
चकास्	 । अ॰	 सेट्	 प॰ । 	च॑का॑सृँ॑ 		दीप्तौ 	०२।	००६९ ॥
चक्	 । भ्वा॰	 सेट्	 प॰ । 	च॑कँ॑ 		तृप्तौ 	०१।	००९८ ॥
चक्	 । भ्वा॰	 सेट्	 आ॰ । 	च॑कँ॒ 		तृप्तौ प्रतिघाते च 	०१।	०८९२ ॥
चक्क्	 । चु॰	 सेट्	 उ॰ । 	च॑क्कँ॑ 		[व्यथने] 	१०।	००८४ ॥
चक्ष्	 । अ॰	 अनिट्	 आ॰ । 	च॒क्षिँ॒ङ् 		व्यक्तायां वाचि । अयं दर्शनेऽपि 	०२।	०००७ ॥
चञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	च॑ञ्चुँ॑ 		[गत्यर्थः] 	०१।	०२१७ ॥
चट्	 । चु॰	 सेट्	 उ॰ । 	च॑टँ॑ 		[भेदने] 	१०।	०२४६ ॥
