अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
अय्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑यँ॒॑ 		गतौ) 	०१।	०५४६ ॥
अर्क्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्कँ॑ 		स्तवने 	१०।	०१४५ ॥
अर्घ्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्घँ॑ 		मूल्ये) 	०१।	०१८५ ॥
अर्च्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्चँ॑ 		पूजायाम् 	०१।	०२३२ ॥
अर्च्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्चँ॑ 		पूजायाम् 	१०।	०३४० ॥
अर्ज्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्जँ॑ 		[अर्जने] 	०१।	०२५६ ॥
अर्ज्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्जँ॑ 		प्रतियत्ने (सम्पादने च) 	१०।	०२५० ॥
अर्थ (अर्थ्)	 । चु॰	 सेट्	 आ॰ । 	अ॑र्थँ॒ 		उपयाच्ञायाम् 	१०।	०४४७ ॥
अर्द्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्दँ॑ 	(अ॒र्दँ॑)	हिंसायाम् 	१०।	०३६५ ॥
अर्द्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्दँ॑ 		गतौ याचने च 	०१।	००५७ ॥
अर्ब्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्बँ॑ 		[गतौ] 	०१।	०४८१ ॥
अर्व्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्वँ॑ 		[हिंसायाम्] 	०१।	०६६७ ॥
अर्ह्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्हँ॑ 		पूजायाम् 	१०।	०२५७ ॥
अर्ह्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्हँ॑ 		पूजायाम् 	१०।	०३६७ ॥
अर्ह्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्हँ॑ 		पूजायाम् 	०१।	०८४१ ॥
अल्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑लँ॑ 	(अ॒लँ॑)	भूषणपर्याप्तिवारणेषु 	०१।	०५९३ ॥
अव्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑वँ॑ 		रक्षणगतिकान्तिप्रीतितृप्त्यवगमप्रवेशश्रवणस्वाम्यर्थयाचनक्रियेच्छादीप्त्यवाप्त्यालिङ्गनहिंसादानभागवृद्धिषु 	०१।	०६८४ ॥
अश्	 । क्र्या॰	 सेट्	 प॰ । 	अ॑शँ॑ 		भोजने 	०९।	००५९ ॥
अश्	 । स्वा॰	 सेट्	 आ॰ । 	अ॑शूँ॒ 		व्याप्तौ सङ्घाते च 	०५।	००२० ॥
अष्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑षँ॒॑ 		[गतिदीप्त्यादानेषु] इत्येके 	०१।	१०३० ॥
अस्	 । दि॰	 सेट्	 प॰ । 	अ॑सुँ॑ 		क्षेपने 	०४।	०१०६ ॥
अस्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑सँ॒॑ 		गतिदीप्त्यादानेषु 	०१।	१०२९ ॥
अस्	 । अ॰	 सेट्	 प॰ । 	अ॑सँ॑ 		भुवि 	०२।	००६० ॥
अह्	 । स्वा॰	 सेट्	 प॰ । 	अ॑हँ॑ 		व्याप्तौ 	०५।	००२९ ॥
आक्रन्द् आङ्ऽक्रन्द्	 । चु॰	 सेट्	 उ॰ । 	आ॑ङः॒॑ क्रन्दँ 		सातत्ये 	१०।	०२५२ ॥
आञ्छ्	 । भ्वा॰	 सेट्	 प॰ । 	आ॑छिँ॑ 		आयामे 	०१।	०२३७ ॥
आप्	 । स्वा॰	 अनिट्	 प॰ । 	आ॒पॢँ॑ 		लम्भने 	०५।	००१६ ॥
आप्	 । चु॰	 सेट्	 उ॰ । 	आ॑पॢँ॑ 	(आ॒पॢँ॑)	व्याप्तौ 	१०।	०३७६ ॥
आशंस् आङ्ऽशंस्	 । भ्वा॰	 सेट्	 आ॰ । 	आ॑ङः॒ शसि 		इच्छायाम् 	०१।	०७१६ ॥
आशास् आङ्ऽशास्	 । अ॰	 सेट्	 आ॰ । 	आ॑ङः॒ शासुँ		इच्छायाम् 	०२।	००१२ ॥
आसद् आङ्ऽसद्	 । चु॰	 सेट्	 उ॰ । 	आ॒ङः॑ षदँ		पद्यर्थे 	१०।	०३६८ ॥
आस्	 । अ॰	 सेट्	 आ॰ । 	आ॑सँ॒ 		उपवेशने 	०२।	००११ ॥
इ	 । अ॰	 अनिट्	 आ॰ । 	इ॒ङ् 		अध्ययने । नित्यमधिपूर्वः 	०२।	००४२ ॥
इ	 । अ॰	 अनिट्	 प॰ । 	इ॒ण् 		गतौ 	०२।	००४१ ॥
इ	 । अ॰	 अनिट्	 प॰ । 	इ॒क् 		स्मरणे । अयमप्यधिपूर्वः 	०२।	००४० ॥
इख्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑खँ॑ 		[गत्यर्थः] 	०१।	०१४८ ॥
इङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑खिँ॑ 		[गत्यर्थः] 	०१।	०१४९ ॥
इङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑गिँ॑ 		[गत्यर्थः] 	०१।	०१६३ ॥
इट्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑टँ॑ 		[गतौ] 	०१।	०३५७ ॥
इन्द्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑दिँ॑ 		परमैश्वर्ये 	०१।	००६५ ॥
इन्ध्	 । रु॰	 सेट्	 आ॰ । 	ञिइ॒न्धीँ॑ 		दीप्तौ 	०७।	००११ ॥
इन्व्	 । भ्वा॰	 सेट्	 प॰ । 	इ॑विँ॑ 		व्याप्तौ 	०१।	०६७० ॥
इल्	 । चु॰	 सेट्	 उ॰ । 	इ॑लँ॑ 		प्रेरणे 	०६।	००८४ ॥
इल्	 । तु॰	 सेट्	 प॰ । 	इ॑लँ॑ 		स्वप्नक्षेपनयोः 	१०।	०१६७ ॥
इष्	 । तु॰	 सेट्	 प॰ । 	इ॑षँ॑ 	(इ॑षुँ॑)	इच्छायाम् 	०६।	००७८ ॥
इष्	 । दि॰	 सेट्	 प॰ । 	इ॑षँ॑ 		[ईषँ] गतौ 	०४।	००२२ ॥
इष्	 । क्र्या॰	 सेट्	 प॰ । 	इ॑षँ॑ 		आभीक्ष्ण्ये 	०९।	००६१ ॥
ई	 । दि॰	 अनिट्	 आ॰ । 	ई॒ङ् 		गतौ 	०४।	००३८ ॥
ईक्ष्	 । भ्वा॰	 सेट्	 आ॰ । 	ई॑क्षँ॒ 		दर्शने 	०१।	०६९४ ॥
ईख्	 । भ्वा॰	 सेट्	 प॰ । 	ई॑खिँ॑ 		[गत्यर्थः] 	०१।	०१५० ॥
ईङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	ई॑खिँ॑ 		[गत्यर्थः] 	०१।	०१५१ ॥
ईज्	 । भ्वा॰	 सेट्	 आ॰ । 	ई॑ज॒ 		गतिकुत्सनयोः 	०१।	०२०७ ॥
ईञ्ज्	 । भ्वा॰	 सेट्	 आ॰ । 	ई॑जिँ॒ 		[गतिकुत्सनयोः] इत्येके 	०१।	०२०८ ॥
ईड्	 । चु॰	 सेट्	 उ॰ । 	ई॑डँ॑ 		स्तुतौ 	०२।	०००९ ॥
ईड्	 । अ॰	 सेट्	 आ॰ । 	ई॑डँ॒ 		स्तुतौ 	१०।	०१८३ ॥
ईर्	 । चु॰	 सेट्	 उ॰ । 	ई॑रँ॑ 		क्षेपे 	०२।	०००८ ॥
ईर्	 । अ॰	 सेट्	 आ॰ । 	ई॑रँ॒ 		गतौ कम्पने च 	१०।	०३४२ ॥
ईर्क्ष्य्	 । भ्वा॰	 सेट्	 प॰ । 	ई॑र्क्ष्यँ॑ 		[ईर्ष्यार्थः] 	०१।	०५८७ ॥
ईर्ष्य्	 । भ्वा॰	 सेट्	 प॰ । 	ई॑र्ष्यँ॑ 		ईर्ष्यार्थाः 	०१।	०५८८ ॥
ईश्	 । अ॰	 सेट्	 आ॰ । 	ई॑शँ॒ 		ऐश्वर्ये 	०२।	००१० ॥
