अ॑मँ॑ 	*	रोगे (न मित् - १।९५०) 	*	अम्	*	 । चु॰	*	०२४५ ॥	*	 उ॰ । 	*	 सेट्
अ॑बिँ॒ 	*	शब्दे 	*	अम्ब्	*	 । भ्वा॰	*	०४३८ ॥	*	 आ॰ । 	*	 सेट्
अ॑भिँ॒ 	*	[[शब्दे] क्वचित्पठ्यते] 	*	अम्भ्	*	 । भ्वा॰	*	०४४८ ॥	*	 आ॰ । 	*	 सेट्
अ॑यँ॒ 	*	[गतौ] 	*	अय्	*	 । भ्वा॰	*	१०३१ ॥	*	 आ॰ । 	*	 सेट्
अ॑यँ॒॑ 	*	गतौ) 	*	अय्	*	 । भ्वा॰	*	०५४६ ॥	*	 उ॰ । 	*	 सेट्
अ॑र्कँ॑ 	*	स्तवने 	*	अर्क्	*	 । चु॰	*	०१४५ ॥	*	 उ॰ । 	*	 सेट्
अ॑र्घँ॑ 	*	मूल्ये) 	*	अर्घ्	*	 । भ्वा॰	*	०१८५ ॥	*	 प॰ । 	*	 सेट्
अ॑र्चँ॑ 	*	पूजायाम् 	*	अर्च्	*	 । भ्वा॰	*	०२३२ ॥	*	 प॰ । 	*	 सेट्
अ॑र्चँ॑ 	*	पूजायाम् 	*	अर्च्	*	 । चु॰	*	०३४० ॥	*	 उ॰ । 	*	 सेट्
अ॑र्जँ॑ 	*	[अर्जने] 	*	अर्ज्	*	 । भ्वा॰	*	०२५६ ॥	*	 प॰ । 	*	 सेट्
अ॑र्जँ॑ 	*	प्रतियत्ने (सम्पादने च) 	*	अर्ज्	*	 । चु॰	*	०२५० ॥	*	 उ॰ । 	*	 सेट्
अ॑र्थँ॒ 	*	उपयाच्ञायाम् 	*	अर्थ (अर्थ्)	*	 । चु॰	*	०४४७ ॥	*	 आ॰ । 	*	 सेट्
अ॑र्दँ॑ 	*	हिंसायाम् 	*	अर्द्	*	 । चु॰	*	०३६५ ॥	*	 उ॰ । 	*	 सेट्
अ॑र्दँ॑ 	*	गतौ याचने च 	*	अर्द्	*	 । भ्वा॰	*	००५७ ॥	*	 प॰ । 	*	 सेट्
अ॑र्बँ॑ 	*	[गतौ] 	*	अर्ब्	*	 । भ्वा॰	*	०४८१ ॥	*	 प॰ । 	*	 सेट्
अ॑र्वँ॑ 	*	[हिंसायाम्] 	*	अर्व्	*	 । भ्वा॰	*	०६६७ ॥	*	 प॰ । 	*	 सेट्
अ॑र्हँ॑ 	*	पूजायाम् 	*	अर्ह्	*	 । चु॰	*	०२५७ ॥	*	 उ॰ । 	*	 सेट्
अ॑र्हँ॑ 	*	पूजायाम् 	*	अर्ह्	*	 । चु॰	*	०३६७ ॥	*	 उ॰ । 	*	 सेट्
अ॑र्हँ॑ 	*	पूजायाम् 	*	अर्ह्	*	 । भ्वा॰	*	०८४१ ॥	*	 प॰ । 	*	 सेट्
अ॑लँ॑ 	*	भूषणपर्याप्तिवारणेषु 	*	अल्	*	 । भ्वा॰	*	०५९३ ॥	*	 प॰ । 	*	 सेट्
अ॑वँ॑ 	*	रक्षणगतिकान्तिप्रीतितृप्त्यवगमप्रवेशश्रवणस्वाम्यर्थयाचनक्रियेच्छादीप्त्यवाप्त्यालिङ्गनहिंसादानभागवृद्धिषु 	*	अव्	*	 । भ्वा॰	*	०६८४ ॥	*	 प॰ । 	*	 सेट्
अ॑शँ॑ 	*	भोजने 	*	अश्	*	 । क्र्या॰	*	००५९ ॥	*	 प॰ । 	*	 सेट्
अ॑शूँ॒ 	*	व्याप्तौ सङ्घाते च 	*	अश्	*	 । स्वा॰	*	००२० ॥	*	 आ॰ । 	*	 सेट्
अ॑षँ॒॑ 	*	[गतिदीप्त्यादानेषु] इत्येके 	*	अष्	*	 । भ्वा॰	*	१०३० ॥	*	 उ॰ । 	*	 सेट्
अ॑सुँ॑ 	*	क्षेपने 	*	अस्	*	 । दि॰	*	०१०६ ॥	*	 प॰ । 	*	 सेट्
अ॑सँ॒॑ 	*	गतिदीप्त्यादानेषु 	*	अस्	*	 । भ्वा॰	*	१०२९ ॥	*	 उ॰ । 	*	 सेट्
अ॑सँ॑ 	*	भुवि 	*	अस्	*	 । अ॰	*	००६० ॥	*	 प॰ । 	*	 सेट्
अ॑हँ॑ 	*	व्याप्तौ 	*	अह्	*	 । स्वा॰	*	००२९ ॥	*	 प॰ । 	*	 सेट्
आ॑ङः॒॑ क्रन्दँ 	*	सातत्ये 	*	आक्रन्द् आङ्ऽक्रन्द्	*	 । चु॰	*	०२५२ ॥	*	 उ॰ । 	*	 सेट्
आ॑छिँ॑ 	*	आयामे 	*	आञ्छ्	*	 । भ्वा॰	*	०२३७ ॥	*	 प॰ । 	*	 सेट्
आ॒पॢँ॑ 	*	लम्भने 	*	आप्	*	 । स्वा॰	*	००१६ ॥	*	 प॰ । 	*	 अनिट्
आ॑पॢँ॑ 	*	व्याप्तौ 	*	आप्	*	 । चु॰	*	०३७६ ॥	*	 उ॰ । 	*	 सेट्
आ॑ङः॒ शसि 	*	इच्छायाम् 	*	आशंस् आङ्ऽशंस्	*	 । भ्वा॰	*	०७१६ ॥	*	 आ॰ । 	*	 सेट्
आ॑ङः॒ शासुँ	*	इच्छायाम् 	*	आशास् आङ्ऽशास्	*	 । अ॰	*	००१२ ॥	*	 आ॰ । 	*	 सेट्
आ॒ङः॑ षदँ	*	पद्यर्थे 	*	आसद् आङ्ऽसद्	*	 । चु॰	*	०३६८ ॥	*	 उ॰ । 	*	 सेट्
आ॑सँ॒ 	*	उपवेशने 	*	आस्	*	 । अ॰	*	००११ ॥	*	 आ॰ । 	*	 सेट्
इ॒ङ् 	*	अध्ययने । नित्यमधिपूर्वः 	*	इ	*	 । अ॰	*	००४२ ॥	*	 आ॰ । 	*	 अनिट्
इ॒ण् 	*	गतौ 	*	इ	*	 । अ॰	*	००४१ ॥	*	 प॰ । 	*	 अनिट्
इ॒क् 	*	स्मरणे । अयमप्यधिपूर्वः 	*	इ	*	 । अ॰	*	००४० ॥	*	 प॰ । 	*	 अनिट्
इ॑खँ॑ 	*	[गत्यर्थः] 	*	इख्	*	 । भ्वा॰	*	०१४८ ॥	*	 प॰ । 	*	 सेट्
इ॑खिँ॑ 	*	[गत्यर्थः] 	*	इङ्ख्	*	 । भ्वा॰	*	०१४९ ॥	*	 प॰ । 	*	 सेट्
इ॑गिँ॑ 	*	[गत्यर्थः] 	*	इङ्ग्	*	 । भ्वा॰	*	०१६३ ॥	*	 प॰ । 	*	 सेट्
इ॑टँ॑ 	*	[गतौ] 	*	इट्	*	 । भ्वा॰	*	०३५७ ॥	*	 प॰ । 	*	 सेट्
