783	भ्वादिः	तिल्लँ ( तिल्ल् ) 	गतौ 	सेट् 	प.प 	X	345	X
784	भ्वादिः	खेलृँ(खेल्) 	चलने 	सेट् 	प.प 	330	346	348
785	भ्वादिः	चेलृँ(चेल्) 	चलने 	सेट् 	प.प 	330	346	348
786	भ्वादिः	वेलृँ(वेल्) 	चलने 	सेट् 	प.प 	330	X	348
787	भ्वादिः	वेल्लँ ( वेल्ल् ) 	चलने 	सेट् 	प.प 	330	X	348
788	भ्वादिः	श्वेलृँ(श्वेल्) 	चलने 	सेट् 	प.प 	330	X	X
789	भ्वादिः	केलृँ(केल्) 	चलने 	सेट् 	प.प 	X	346	348
790	भ्वादिः	क्ष्वेलृँ(क्ष्वेल्) 	चलने 	सेट् 	प.प 	X	346	348
791	भ्वादिः	वेल्लृँ(वेल्ल्) 	चलने 	सेट् 	प.प 	X	346	X
792	भ्वादिः	तिलँ ( तिल् ) 	गतौ 	सेट् 	प.प 	X	X	347
793	भ्वादिः	चेल्लँ(चेल्ल्) 	चलने 	सेट् 	प.प 	X	X	348
794	भ्वादिः	पेलृँ(पेल्) 	गतौ 	सेट् 	प.प 	331	347	349
795	भ्वादिः	फेलृँ(फेल्) 	गतौ 	सेट् 	प.प 	331	347	349
796	भ्वादिः	शेलृँ(शेल्) 	गतौ 	सेट् 	प.प 	331	347	349
797	भ्वादिः	स्खलँ(स्खल्) 	सङ्ख्याने 	सेट् 	प.प 	332	X	X
798	भ्वादिः	स्खलँ(स्खल्) 	चलने 	सेट् 	प.प 	X	348	X
799	भ्वादिः	खलँ ( खल् ) 	सञ्चये 	सेट् 	प.प 	333	349	X
800	भ्वादिः	खलँ(खल्) 	चलने 	सेट् 	प.प 	X	349	X
801	भ्वादिः	खलँ(खल्) 	सञ्चलने 	सेट् 	प.प 	X	X	350
802	भ्वादिः	स्खलँ(स्खल्) 	सञ्चलने 	सेट् 	प.प 	X	X	350
803	भ्वादिः	खलँ(खल्) 	संशये 	सेट् 	प.प 	X	X	351
804	भ्वादिः	गलँ ( गल् ) 	अदने 	सेट् 	प.प 	334	350	352
805	भ्वादिः	षलँ ( षल् ) 	गतौ 	सेट् 	प.प 	335	X	X
806	भ्वादिः	सलँ(सल्) 	गतौ 	सेट् 	प.प 	X	351	353
807	भ्वादिः	दलँ ( दल् ) 	विशरणे 	सेट् 	प.प 	336	352	X
808	भ्वादिः	दलँ ( दल् ) 	विदारणे 	सेट् 	प.प 	X	X	354
809	भ्वादिः	श्वलँ ( श्वल् ) 	आशुगमने 	सेट् 	प.प 	337	X	355
810	भ्वादिः	श्वल्लँ ( श्वल्ल् ) 	आशुगमने 	सेट् 	प.प 	337	353	355
811	भ्वादिः	शलँ ( शल् ) 	आशुगमने 	सेट् 	प.प 	X	353	X
812	भ्वादिः	खोर्ऋँ(खोर्) 	गतिप्रतिघाते 	सेट् 	प.प 	338	354	356
813	भ्वादिः	खोलृँ(खोल्) 	गतिप्रतिघाते 	सेट् 	प.प 	338	354	X
814	भ्वादिः	धोर्ऋँ(धोर्) 	गतिचातुर्ये 	सेट् 	प.प 	X	355	358
815	भ्वादिः	त्सरँ ( त्सर् ) 	छद्मगतौ 	सेट् 	प.प 	339	356	359
816	भ्वादिः	क्मरँ ( क्मर् ) 	हूर्च्छने 	सेट् 	प.प 	340	X	360
817	भ्वादिः	अभ्रँ ( अभ्र् ) 	गतौ 	सेट् 	प.प 	341	357	361
818	भ्वादिः	चरँ ( चर् ) 	गतौ 	सेट् 	प.प 	341	357	361
819	भ्वादिः	मभ्रँ ( मभ्र् ) 	गतौ 	सेट् 	प.प 	341	357	361
820	भ्वादिः	वभ्रँ ( वभ्र् ) 	गतौ 	सेट् 	प.प 	341	X	361
821	भ्वादिः	बभ्रँ(बभ्र्) 	गतौ 	सेट् 	प.प 	X	357	X
822	भ्वादिः	ष्ठिवुँ(ष्ठिव्) 	निरसने 	सेट् 	प.प 	342	358	362
823	भ्वादिः	जि ( जि ) 	जये 	सेट् 	प.प 	343	359	363
824	भ्वादिः	जीवँ ( जीव् ) 	प्राणधारणे 	सेट् 	प.प 	344	360	364
825	भ्वादिः	णीवँ(णीव्) 	स्थौल्ये 	सेट् 	प.प 	345	361	365
826	भ्वादिः	तीवँ ( तीव् ) 	स्थौल्ये 	सेट् 	प.प 	345	361	365
827	भ्वादिः	पीवँ ( पीव् ) 	स्थौल्ये 	सेट् 	प.प 	345	361	365
828	भ्वादिः	मीवँ ( मीव् ) 	स्थौल्ये 	सेट् 	प.प 	345	361	365
829	भ्वादिः	क्षीवुँ ( क्षीव् ) 	निरसने 	सेट् 	प.प 	346	X	X
830	भ्वादिः	क्षीवँ(क्षीव्) 	निरसने 	सेट् 	प.प 	X	362	X
831	भ्वादिः	उर्वीँ ( उर्व् ) 	हिंसायाम् 	सेट् 	प.प 	347	363	367
832	भ्वादिः	तुर्वीँ ( तुर्व् ) 	हिंसायाम् 	सेट् 	प.प 	347	363	367
833	भ्वादिः	थुर्वीँ(थुर्व्) 	हिंसायाम् 	सेट् 	प.प 	347	X	367
834	भ्वादिः	दुर्वीँ ( दुर्व् ) 	हिंसायाम् 	सेट् 	प.प 	347	363	367
835	भ्वादिः	धुर्वीँ(धुर्व्) 	हिंसायाम् 	सेट् 	प.प 	347	363	367
836	भ्वादिः	क्षिवुँ(क्षिव्) 	निरसने 	सेट् 	प.प 	X	X	366
837	भ्वादिः	गुर्वीँ ( गुर्व् ) 	उद्यमने 	सेट् 	प.प 	348	364	368
838	भ्वादिः	मुर्वीँ ( मुर्व् ) 	बन्धने 	सेट् 	प.प 	X	365	369
839	भ्वादिः	पर्वँ(पर्व्) 	पूरणे 	सेट् 	प.प 	349	366	X
840	भ्वादिः	पूर्वँ(पूर्व्) 	पूरणे 	सेट् 	प.प 	349	366	X
841	भ्वादिः	मर्वँ ( मर्व् ) 	पूरणे 	सेट् 	प.प 	349	366	X
842	भ्वादिः	पर्वँ(पर्व्) 	पूर्तौ 	सेट् 	प.प 	X	X	370
843	भ्वादिः	पुर्वँ(पुर्व्) 	पूर्तौ 	सेट् 	प.प 	X	X	370
844	भ्वादिः	मर्वँ(मर्व्) 	पूर्तौ 	सेट् 	प.प 	X	X	370
845	भ्वादिः	चर्वँ ( चर्व् ) 	अदने 	सेट् 	प.प 	350	367	371
846	भ्वादिः	भर्वँ ( भर्व् ) 	हिंसायाम् 	सेट् 	प.प 	351	368	372
847	भ्वादिः	कर्वँ ( कर्व् ) 	दर्पे 	सेट् 	प.प 	352	X	373
848	भ्वादिः	खर्वँ(खर्व्) 	दर्पे 	सेट् 	प.प 	352	369	373
849	भ्वादिः	गर्वँ ( गर्व् ) 	दर्पे 	सेट् 	प.प 	352	369	373
850	भ्वादिः	अर्वँ ( अर्व् ) 	हिंसायाम् 	सेट् 	प.प 	353	370	374
851	भ्वादिः	शर्वँ ( शर्व् ) 	हिंसायाम् 	सेट् 	प.प 	353	370	374
852	भ्वादिः	षर्वँ ( षर्व् ) 	हिंसायाम् 	सेट् 	प.प 	353	X	374
853	भ्वादिः	इविँ(इव्) 	व्याप्तौ 	सेट् 	प.प 	354	371	375
854	भ्वादिः	णिविँ(णिव्) 	सेवने 	सेट् 	प.प 	355	X	X
855	भ्वादिः	पिविँ(पिव्) 	सेवने 	सेट् 	प.प 	355	X	X
856	भ्वादिः	मिविँ(मिव्) 	सेवने 	सेट् 	प.प 	355	X	X
857	भ्वादिः	णिविँ(णिव्) 	सेचने 	सेट् 	प.प 	X	372	X
858	भ्वादिः	पिविँ(पिव्) 	सेचने 	सेट् 	प.प 	X	372	X
859	भ्वादिः	मिविँ(मिव्) 	सेचने 	सेट् 	प.प 	X	372	X
860	भ्वादिः	जिविँ(जिव्) 	प्रीणने 	सेट् 	प.प 	356	373	377
861	भ्वादिः	दिविँ(दिव्) 	प्रीणने 	सेट् 	प.प 	356	373	377
862	भ्वादिः	धिविँ(धिव्) 	प्रीणने 	सेट् 	प.प 	356	373	377
863	भ्वादिः	हिविँ(हिव्) 	प्रीणने 	सेट् 	प.प 	356	X	377
864	भ्वादिः	इविँ(इव्) 	प्रीणने 	सेट् 	प.प 	X	373	X
865	भ्वादिः	णिविँ(णिव्) 	स्रंसने 	सेट् 	प.प 	X	X	376
866	भ्वादिः	पिविँ(पिव्) 	स्रंसने 	सेट् 	प.प 	X	X	376
867	भ्वादिः	मिविँ(मिव्) 	स्रंसने 	सेट् 	प.प 	X	X	376
868	भ्वादिः	धविँ ( धव् ) 	गतौ 	सेट् 	प.प 	357	374	378
869	भ्वादिः	रविँ ( रव् ) 	गतौ 	सेट् 	प.प 	357	374	378
870	भ्वादिः	रिविँ ( रिव् ) 	गतौ 	सेट् 	प.प 	357	374	378
871	भ्वादिः	दविँ(दव्) 	गतौ 	सेट् 	प.प 	X	374	X
872	भ्वादिः	कृविँ(कृव्) 	करणे 	सेट् 	प.प 	358	375	379
873	भ्वादिः	कृविँ(कृव्) 	हिंसायाम् 	सेट् 	प.प 	358	375	379
874	भ्वादिः	मवँ ( मव् ) 	बन्धने 	सेट् 	प.प 	359	376	380
875	भ्वादिः	अवँ ( अव् ) 	अवगमे 	सेट् 	प.प 	360	377	381
876	भ्वादिः	अवँ ( अव् ) 	अवाप्तौ 	सेट् 	प.प 	360	377	381
877	भ्वादिः	अवँ ( अव् ) 	आलिङ्गने 	सेट् 	प.प 	360	377	381
878	भ्वादिः	अवँ ( अव् ) 	इच्छायाम् 	सेट् 	प.प 	360	377	381
879	भ्वादिः	अवँ ( अव् ) 	कान्तौ 	सेट् 	प.प 	360	X	381
880	भ्वादिः	अवँ ( अव् ) 	क्रियायाम् 	सेट् 	प.प 	360	377	381
881	भ्वादिः	अवँ ( अव् ) 	गतौ 	सेट् 	प.प 	360	377	381
882	भ्वादिः	अवँ ( अव् ) 	तृप्तौ 	सेट् 	प.प 	360	377	381
883	भ्वादिः	अवँ ( अव् ) 	दाने 	सेट् 	प.प 	360	377	381
884	भ्वादिः	अवँ ( अव् ) 	दीप्तौ 	सेट् 	प.प 	360	377	381
885	भ्वादिः	अवँ(अव्) 	प्रवेशने 	सेट् 	प.प 	360	377	381
886	भ्वादिः	अवँ ( अव् ) 	प्रीतौ 	सेट् 	प.प 	360	377	381
887	भ्वादिः	अवँ ( अव् ) 	भागे 	सेट् 	प.प 	360	377	381
888	भ्वादिः	अवँ ( अव् ) 	याचने 	सेट् 	प.प 	360	377	381
889	भ्वादिः	अवँ ( अव् ) 	रक्षणे 	सेट् 	प.प 	360	377	381
890	भ्वादिः	अवँ ( अव् ) 	वृद्धौ 	सेट् 	प.प 	360	377	381
891	भ्वादिः	अवँ ( अव् ) 	श्रवणे 	सेट् 	प.प 	360	377	381
892	भ्वादिः	अवँ ( अव् ) 	स्वाम्यर्थे 	सेट् 	प.प 	360	377	381
893	भ्वादिः	अवँ ( अव् ) 	हिंसायाम् 	सेट् 	प.प 	360	377	381
894	भ्वादिः	धावुँ॑ ( धाव् ) 	गतौ 	सेट् 	उ.प 	361	X	X
895	भ्वादिः	धावुँ॑ ( धाव् ) 	शुद्धौ 	सेट् 	उ.प 	361	378	X
896	भ्वादिः	धावुँ ( धाव् ) 	गतौ 	सेट् 	प.प 	X	X	382
897	भ्वादिः	धावुँ ( धाव् ) 	शुद्धौ 	सेट् 	प.प 	X	X	382
898	भ्वादिः	धिक्षँ॒(धिक्ष्) 	क्लेशने 	सेट् 	आ.प 	362	379	383
899	भ्वादिः	धिक्षँ॒(धिक्ष्) 	जीवने 	सेट् 	आ.प 	362	379	383
900	भ्वादिः	धिक्षँ॒(धिक्ष्) 	सन्दीपने 	सेट् 	आ.प 	362	379	383
901	भ्वादिः	धुक्षँ॒(धुक्ष्) 	क्लेशने 	सेट् 	आ.प 	362	379	383
902	भ्वादिः	धुक्षँ॒(धुक्ष्) 	जीवने 	सेट् 	आ.प 	362	379	383
903	भ्वादिः	धुक्षँ॒(धुक्ष्) 	सन्दीपने 	सेट् 	आ.प 	362	379	383
904	भ्वादिः	वृक्षँ॒ ( वृक्ष् ) 	वरणे 	सेट् 	आ.प 	363	380	384
905	भ्वादिः	शिक्षँ॒ ( शिक्ष् ) 	विद्योपादाने 	सेट् 	आ.प 	364	381	385
906	भ्वादिः	भिक्षँ॒(भिक्ष्) 	अलाभे 	सेट् 	आ.प 	365	382	386
907	भ्वादिः	भिक्षँ॒(भिक्ष्) 	भिक्षायाम् 	सेट् 	आ.प 	365	X	X
908	भ्वादिः	भिक्षँ॒(भिक्ष्) 	लाभे 	सेट् 	आ.प 	365	382	386
909	भ्वादिः	भिक्षँ॒(भिक्ष्) 	याच्ञायाम् 	सेट् 	आ.प 	X	382	386
910	भ्वादिः	क्लेशँ॒(क्लेश्) 	अव्यक्तायां_वाचि 	सेट् 	आ.प 	366	X	X
911	भ्वादिः	क्लेशँ॒(क्लेश्) 	व्यक्तायां_वाचि 	सेट् 	आ.प 	X	X	387
912	भ्वादिः	दक्षँ॒ ( दक्ष् ) 	वृद्धौ 	सेट् 	आ.प 	367	383	388
913	भ्वादिः	दक्षँ॒ ( दक्ष् ) 	शीघ्रार्थे 	सेट् 	आ.प 	367	383	388
914	भ्वादिः	दीक्षँ॒ ( दीक्ष् ) 	इज्यायाम् 	सेट् 	आ.प 	368	384	389
915	भ्वादिः	दीक्षँ॒ ( दीक्ष् ) 	उपनयने 	सेट् 	आ.प 	368	384	389
916	भ्वादिः	दीक्षँ॒ ( दीक्ष् ) 	नियमे 	सेट् 	आ.प 	368	384	389
917	भ्वादिः	दीक्षँ॒ ( दीक्ष् ) 	मौण्ड्ये 	सेट् 	आ.प 	368	384	389
918	भ्वादिः	दीक्षँ॒ ( दीक्ष् ) 	व्रतादेशे 	सेट् 	आ.प 	368	384	389
919	भ्वादिः	ईक्षँ॒ ( ईक्ष् ) 	दर्शने 	सेट् 	आ.प 	369	385	390
920	भ्वादिः	पर्षँ॒(पर्ष्) 	स्नेहने 	सेट् 	आ.प 	X	388	392
921	भ्वादिः	ग्लेषृँ॒ ( ग्लेष् ) 	अन्विच्छायाम् 	सेट् 	आ.प 	X	X	393
922	भ्वादिः	ईषँ॒ ( ईष् ) 	गतौ 	सेट् 	आ.प 	370	386	394
923	भ्वादिः	ईषँ॒ ( ईष् ) 	दर्शने 	सेट् 	आ.प 	370	386	X
924	भ्वादिः	ईषँ॒ ( ईष् ) 	हिंसायाम् 	सेट् 	आ.प 	370	386	394
925	भ्वादिः	ईषँ॒(ईष्) 	दाने 	सेट् 	आ.प 	X	X	394
926	भ्वादिः	भाषँ॒(भाष्) 	व्यक्तायां_वाचि 	सेट् 	आ.प 	371	387	391
927	भ्वादिः	वर्षँ॒ ( वर्ष् ) 	स्नेहने 	सेट् 	आ.प 	372	X	392
928	भ्वादिः	गेषृँ॒ ( गेष् ) 	अन्विच्छायाम् 	सेट् 	आ.प 	373	389	X
929	भ्वादिः	एषृँ॒(एष्) 	प्रयत्ने 	सेट् 	आ.प 	374	X	X
930	भ्वादिः	येषृँ॒ ( येष् ) 	प्रयत्ने 	सेट् 	आ.प 	X	390	396
931	भ्वादिः	एषृँ॒(एष्) 	गतौ 	सेट् 	आ.प 	375	391	397
932	भ्वादिः	जेषृँ॒ ( जेष् ) 	गतौ 	सेट् 	आ.प 	375	391	397
933	भ्वादिः	णेषृँ॒(णेष्) 	गतौ 	सेट् 	आ.प 	375	391	X
934	भ्वादिः	प्रेषृँ॒(प्रेष्) 	गतौ 	सेट् 	आ.प 	375	X	X
935	भ्वादिः	ह्रेषृँ॒(ह्रेष्) 	गतौ 	सेट् 	आ.प 	X	391	397
936	भ्वादिः	प्रेषृँ॒(प्रेष्) 	यत्ने 	सेट् 	आ.प 	X	X	395
937	भ्वादिः	णेसृँ॒(णेस्) 	गतौ 	सेट् 	आ.प 	X	X	397
938	भ्वादिः	रेषृँ॒(रेष्) 	अव्यक्ते_शब्दे 	सेट् 	आ.प 	376	X	398
939	भ्वादिः	हेषृँ॒(हेष्) 	अव्यक्ते_शब्दे 	सेट् 	आ.प 	376	392	398
940	भ्वादिः	कासृँ॒ ( कास् ) 	शब्दकुत्सायाम् 	सेट् 	आ.प 	377	393	399
941	भ्वादिः	भासृँ॒ ( भास् ) 	दीप्तौ 	सेट् 	आ.प 	378	394	400
942	भ्वादिः	णासृँ॒(णास्) 	शब्दे 	सेट् 	आ.प 	379	396	401
943	भ्वादिः	रासृँ॒ ( रास् ) 	शब्दे 	सेट् 	आ.प 	379	395	401
944	भ्वादिः	णसँ॒(णस्) 	कौटिल्ये 	सेट् 	आ.प 	380	397	402
945	भ्वादिः	भ्यसँ॒ ( भ्यस् ) 	भये 	सेट् 	आ.प 	381	398	403
946	भ्वादिः	आङः-शसिँ॒(आङः-शस्) 	इच्छायाम् 	सेट् 	आ.प 	382	399	404
947	भ्वादिः	ग्रसुँ॒ ( ग्रस् ) 	अदने 	सेट् 	आ.प 	383	400	405
948	भ्वादिः	ग्लसुँ॒ ( ग्लस् ) 	अदने 	सेट् 	आ.प 	383	400	405
949	भ्वादिः	ईहँ॒ ( ईह् ) 	चेष्टायाम् 	सेट् 	आ.प 	384	401	406
950	भ्वादिः	बहिँ॒(बह्) 	वृद्धौ 	सेट् 	आ.प 	385	402	X
951	भ्वादिः	महिँ॒(मह्) 	वृद्धौ 	सेट् 	आ.प 	385	402	407
952	भ्वादिः	वहिँ॒(वह्) 	वृद्धौ 	सेट् 	आ.प 	X	X	407
953	भ्वादिः	अहिँ॒ ( अह् ) 	गतौ 	सेट् 	आ.प 	386	403	408
954	भ्वादिः	गर्हँ॒ ( गर्ह् ) 	कुत्सायाम् 	सेट् 	आ.प 	387	404	409
955	भ्वादिः	गल्हँ॒ ( गल्ह् ) 	कुत्सायाम् 	सेट् 	आ.प 	387	404	409
956	भ्वादिः	बर्हँ॒ ( बर्ह् ) 	प्राधान्ये 	सेट् 	आ.प 	388	405	X
957	भ्वादिः	बल्हँ॒ ( बल्ह् ) 	प्राधान्ये 	सेट् 	आ.प 	388	405	X
958	भ्वादिः	बर्हँ॒ ( बर्ह् ) 	दाने 	सेट् 	आ.प 	389	X	X
959	भ्वादिः	बर्हँ॒ ( बर्ह् ) 	परिभाषणे 	सेट् 	आ.प 	389	X	X
960	भ्वादिः	बर्हँ॒(बर्ह्) 	हिंसायाम् 	सेट् 	आ.प 	389	X	X
961	भ्वादिः	बल्हँ॒ ( बल्ह् ) 	दाने 	सेट् 	आ.प 	389	X	X
962	भ्वादिः	बल्हँ॒ ( बल्ह् ) 	परिभाषणे 	सेट् 	आ.प 	389	X	X
963	भ्वादिः	बल्हँ॒(बल्ह्) 	हिंसायाम् 	सेट् 	आ.प 	389	X	X
964	भ्वादिः	वर्हँ॒ ( वर्ह् ) 	दाने 	सेट् 	आ.प 	X	406	411
965	भ्वादिः	वर्हँ॒ ( वर्ह् ) 	परिभाषणे 	सेट् 	आ.प 	X	406	411
966	भ्वादिः	वर्हँ॒(वर्ह्) 	हिंसायाम् 	सेट् 	आ.प 	X	406	411
967	भ्वादिः	प्लिहँ॒ ( प्लिह् ) 	गतौ 	सेट् 	आ.प 	390	407	412
968	भ्वादिः	वल्हँ॒(वल्ह्) 	प्राधान्ये 	सेट् 	आ.प 	X	X	410
969	भ्वादिः	वल्हँ॒ ( वल्ह् ) 	दाने 	सेट् 	आ.प 	X	X	411
970	भ्वादिः	वल्हँ॒ ( वल्ह् ) 	परिभाषणे 	सेट् 	आ.प 	X	X	411
971	भ्वादिः	वल्हँ॒(वल्ह्) 	हिंसायाम् 	सेट् 	आ.प 	X	X	411
972	भ्वादिः	जेहृँ॒(जेह्) 	प्रयत्ने 	सेट् 	आ.प 	391	408	413
973	भ्वादिः	बाहृँ॒ ( बाह् ) 	प्रयत्ने 	सेट् 	आ.प 	391	408	X
974	भ्वादिः	वेहृँ॒ ( वेह् ) 	प्रयत्ने 	सेट् 	आ.प 	391	408	413
975	भ्वादिः	वाहृँ॒ ( वाह् ) 	प्रयत्ने 	सेट् 	आ.प 	X	X	413
976	भ्वादिः	माहँ॒(माह्) 	माने 	सेट् 	आ.प 	X	X	414
977	भ्वादिः	द्राहृँ॒ ( द्राह् ) 	निद्राक्षये 	सेट् 	आ.प 	392	X	415
978	भ्वादिः	द्राहृँ॒ ( द्राह् ) 	निक्षेपे 	सेट् 	आ.प 	X	409	X
979	भ्वादिः	काशृँ॒ ( काश् ) 	दीप्तौ 	सेट् 	आ.प 	393	410	416
980	भ्वादिः	ऊहँ॒ ( ऊह् ) 	वितर्के 	सेट् 	आ.प 	394	X	417
981	भ्वादिः	ऊहँ॒(ऊह्) 	तर्के 	सेट् 	आ.प 	X	411	X
982	भ्वादिः	गाहूँ॒ ( गाह् ) 	विलोडने 	सेट् 	आ.प 	395	412	418
983	भ्वादिः	गृहूँ॒ ( गृह् ) 	ग्रहणे 	सेट् 	आ.प 	396	X	419
984	भ्वादिः	घुषिँ॒ ( घुष् ) 	कान्तिकरणे 	सेट् 	आ.प 	397	X	421
985	भ्वादिः	ग्लूहूँ॒(ग्लूह्) 	ग्रहणे 	सेट् 	आ.प 	X	413	X
986	भ्वादिः	घसिँ॒(घस्) 	करणे 	सेट् 	आ.प 	X	414	X
987	भ्वादिः	घुषिँर् ( घुष् ) 	शब्दे 	सेट् 	प.प 	398	415	422
988	भ्वादिः	अक्षूँ ( अक्ष् ) 	व्याप्तौ 	सेट् 	प.प 	399	416	423
989	भ्वादिः	अक्षूँ ( अक्ष् ) 	सङ्घाते 	सेट् 	प.प 	X	416	423
990	भ्वादिः	तक्षूँ ( तक्ष् ) 	तनूकरणे 	सेट् 	प.प 	400	417	424
991	भ्वादिः	त्वक्षूँ ( त्वक्ष् ) 	तनूकरणे 	सेट् 	प.प 	400	417	424
992	भ्वादिः	उक्षँ ( उक्ष् ) 	सेचने 	सेट् 	प.प 	401	418	425
993	भ्वादिः	रक्षँ ( रक्ष् ) 	पालने 	सेट् 	प.प 	402	419	426
994	भ्वादिः	णिक्षँ(णिक्ष्) 	चुम्बने 	सेट् 	प.प 	403	420	427
995	भ्वादिः	णक्षँ(णक्ष्) 	गतौ 	सेट् 	प.प 	404	421	428
996	भ्वादिः	तृक्षँ ( तृक्ष् ) 	गतौ 	सेट् 	प.प 	404	421	428
997	भ्वादिः	स्तृक्षँ(स्तृक्ष्) 	गतौ 	सेट् 	प.प 	404	421	X
998	भ्वादिः	ष्टृक्षँ ( ष्टृक्ष् ) 	गतौ 	सेट् 	प.प 	X	X	428
999	भ्वादिः	वक्षँ ( वक्ष् ) 	रोषे 	सेट् 	प.प 	405	X	429
1000	भ्वादिः	मृक्षँ ( मृक्ष् ) 	सङ्घाते 	सेट् 	प.प 	406	X	X
1001	भ्वादिः	म्रक्षँ ( म्रक्ष् ) 	सङ्घाते 	सेट् 	प.प 	X	X	430
1002	भ्वादिः	तक्षँ ( तक्ष् ) 	त्वचने 	सेट् 	प.प 	407	X	432
1003	भ्वादिः	सूर्क्षँ(सूर्क्ष्) 	आदरे 	सेट् 	प.प 	408	X	X
1004	भ्वादिः	मक्षँ(मक्ष्) 	रोषे 	सेट् 	प.प 	X	422	X
1005	भ्वादिः	काक्षिँ ( काक्ष् ) 	काङ्क्षायाम् 	सेट् 	प.प 	409	426	435
1006	भ्वादिः	माक्षिँ(माक्ष्) 	काङ्क्षायाम् 	सेट् 	प.प 	409	426	435
1007	भ्वादिः	वाक्षिँ ( वाक्ष् ) 	काङ्क्षायाम् 	सेट् 	प.प 	409	426	435
1008	भ्वादिः	वक्षँ ( वक्ष् ) 	सङ्घाते 	सेट् 	प.प 	X	423	X
1009	भ्वादिः	त्वक्षँ(त्वक्ष्) 	त्वचने 	सेट् 	प.प 	X	424	X
1010	भ्वादिः	सूर्क्ष्यँ(सूर्क्ष्य्) 	अनादरे 	सेट् 	प.प 	X	425	X
1011	भ्वादिः	पक्षँ ( पक्ष् ) 	परिग्रहे 	सेट् 	प.प 	X	X	433
1012	भ्वादिः	षूर्क्षँ(षूर्क्ष्) 	अनादरे 	सेट् 	प.प 	X	X	434
1013	भ्वादिः	द्राक्षिँ ( द्राक्ष् ) 	काङ्क्षायाम् 	सेट् 	प.प 	410	426	436
1014	भ्वादिः	द्राक्षिँ(द्राक्ष्) 	घोरवासिते 	सेट् 	प.प 	410	X	X
1015	भ्वादिः	ध्राक्षिँ ( ध्राक्ष् ) 	काङ्क्षायाम् 	सेट् 	प.प 	410	426	436
1016	भ्वादिः	ध्राक्षिँ(ध्राक्ष्) 	घोरवासिते 	सेट् 	प.प 	410	X	X
1017	भ्वादिः	ध्वाक्षिँ(ध्वाक्ष्) 	काङ्क्षायाम् 	सेट् 	प.प 	410	426	436
1018	भ्वादिः	ध्वाक्षिँ(ध्वाक्ष्) 	घोरवासिते 	सेट् 	प.प 	410	X	X
1019	भ्वादिः	द्राक्षिँ ( द्राक्ष् ) 	घोरवाशिते 	सेट् 	प.प 	X	X	436
1020	भ्वादिः	ध्राक्षिँ ( ध्राक्ष् ) 	घोरवाशिते 	सेट् 	प.प 	X	X	436
1021	भ्वादिः	ध्वाक्षिँ(ध्वाक्ष्) 	घोरवाशिते 	सेट् 	प.प 	X	X	436
1022	भ्वादिः	द्राक्षिँ(द्राक्ष्) 	घोरनिवाशिते 	सेट् 	प.प 	X	427	X
1023	भ्वादिः	ध्राक्षिँ(ध्राक्ष्) 	घोरनिवाशिते 	सेट् 	प.प 	X	427	X
1024	भ्वादिः	चूषँ ( चूष् ) 	पाने 	सेट् 	प.प 	411	429	437
1025	भ्वादिः	तूषँ ( तूष् ) 	तुष्टौ 	सेट् 	प.प 	412	430	438
1026	भ्वादिः	पूषँ(पूष्) 	वृद्धौ 	सेट् 	प.प 	413	431	439
1027	भ्वादिः	मूषँ ( मूष् ) 	स्तेये 	सेट् 	प.प 	414	432	440
1028	भ्वादिः	शूषँ ( शूष् ) 	प्रसवे 	सेट् 	प.प 	415	X	X
1029	भ्वादिः	षूषँ(षूष्) 	प्रसवे 	सेट् 	प.प 	X	433	441
1030	भ्वादिः	यूषँ ( यूष् ) 	हिंसायाम् 	सेट् 	प.प 	416	434	442
1031	भ्वादिः	जूषँ(जूष्) 	हिंसायाम् 	सेट् 	प.प 	417	X	443
1032	भ्वादिः	भूषँ ( भूष् ) 	अलङ्कारे 	सेट् 	प.प 	418	435	444
1033	भ्वादिः	ऊषँ ( ऊष् ) 	रुजायाम् 	सेट् 	प.प 	419	436	445
1034	भ्वादिः	ईषँ ( ईष् ) 	उञ्छे 	सेट् 	प.प 	420	437	446
1035	भ्वादिः	कषँ ( कष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1036	भ्वादिः	खषँ ( खष् ) 	हिंसायाम् 	सेट् 	प.प 	421	X	X
1037	भ्वादिः	जषँ ( जष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1038	भ्वादिः	झषँ ( झष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1039	भ्वादिः	मषँ ( मष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1040	भ्वादिः	रिषँ ( रिष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1041	भ्वादिः	रुषँ ( रुष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1042	भ्वादिः	शषँ ( शष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1043	भ्वादिः	शिषँ ( शिष् ) 	हिंसायाम् 	सेट् 	प.प 	421	438	447
1044	भ्वादिः	मुषँ(मुष्) 	हिंसायाम् 	सेट् 	प.प 	X	438	X
1045	भ्वादिः	वषँ ( वष् ) 	हिंसायाम् 	सेट् 	प.प 	X	438	447
1046	भ्वादिः	भषँ ( भष् ) 	भर्त्सने 	सेट् 	प.प 	422	439	448
